iter	Logloss	Accuracy	Recall	F1
0	0.6924737955	0.6338461538	0.5550527903	0.6072607261
1	0.6922606578	0.6315384615	0.5369532428	0.5978169605
2	0.6918744984	0.6407692308	0.6199095023	0.6377036462
3	0.6912254881	0.6538461538	0.826546003	0.7089262613
4	0.6910431334	0.6515384615	0.8340874811	0.7094291212
5	0.6904833718	0.6569230769	0.826546003	0.7107652399
6	0.690117566	0.6523076923	0.7571644042	0.6895604396
7	0.6895699679	0.6730769231	0.7812971342	0.7091033539
8	0.6887839965	0.6776923077	0.8039215686	0.7178451178
9	0.6882199047	0.6792307692	0.8054298643	0.7191919192
10	0.6876959603	0.6746153846	0.8009049774	0.7151515152
11	0.6872361795	0.6707692308	0.7873303167	0.7092391304
12	0.686817155	0.6730769231	0.790346908	0.711473184
13	0.6862792227	0.6707692308	0.778280543	0.7068493151
14	0.6858981428	0.6730769231	0.7858220211	0.7102931152
15	0.6853674917	0.6707692308	0.8009049774	0.7127516779
16	0.6851184411	0.6738461538	0.8084464555	0.7165775401
17	0.6847495276	0.6715384615	0.7948717949	0.7116812964
18	0.6844672073	0.6730769231	0.7948717949	0.7126436782
19	0.6841750192	0.6738461538	0.7963800905	0.7135135135
20	0.6838726913	0.6723076923	0.7993966817	0.7133243607
21	0.683618187	0.6730769231	0.7993966817	0.7138047138
22	0.683169524	0.6715384615	0.7963800905	0.7120701281
23	0.6827297372	0.6753846154	0.802413273	0.7160161507
24	0.6821798152	0.6746153846	0.7948717949	0.7136086662
25	0.6816261632	0.6753846154	0.7933634992	0.7137042062
26	0.6812329276	0.6792307692	0.7948717949	0.7165193746
27	0.6806106898	0.6815384615	0.790346908	0.7168262654
28	0.6801943954	0.6838461538	0.790346908	0.7183002056
29	0.6797815811	0.6830769231	0.7978883861	0.7197278912
30	0.6793012985	0.6807692308	0.7978883861	0.7182620502
31	0.6789083856	0.6807692308	0.7918552036	0.7167235495
32	0.6786791348	0.68	0.7918552036	0.7162346521
33	0.6783880991	0.6815384615	0.7933634992	0.7175989086
34	0.6781366158	0.6807692308	0.7933634992	0.7171097478
35	0.6775229254	0.6792307692	0.7963800905	0.716904277
36	0.6771590377	0.6830769231	0.8009049774	0.7204884668
37	0.6769289727	0.6830769231	0.8009049774	0.7204884668
38	0.6766162051	0.6815384615	0.802413273	0.7198917456
39	0.6762643042	0.6823076923	0.8039215686	0.7207572684
40	0.6759140928	0.6784615385	0.8054298643	0.7187079408
41	0.6757391325	0.6784615385	0.8039215686	0.718328841
42	0.6754057506	0.6792307692	0.8039215686	0.7188132165
43	0.6751138064	0.6815384615	0.8039215686	0.7202702703
44	0.6748136243	0.68	0.8039215686	0.7192982456
45	0.6744196643	0.6815384615	0.802413273	0.7198917456
46	0.6741308201	0.6807692308	0.802413273	0.7194050034
47	0.6739282034	0.6815384615	0.8039215686	0.7202702703
48	0.6734700591	0.6830769231	0.8054298643	0.7216216216
49	0.673176482	0.6807692308	0.8054298643	0.7201618341
50	0.6727190382	0.6815384615	0.8054298643	0.7206477733
51	0.6724714693	0.6815384615	0.8054298643	0.7206477733
52	0.6721850411	0.6838461538	0.8084464555	0.7228590695
53	0.6719314556	0.6830769231	0.8084464555	0.7223719677
54	0.6716509247	0.6846153846	0.8114630468	0.7240915209
55	0.6713894322	0.6846153846	0.8114630468	0.7240915209
56	0.6711687228	0.6846153846	0.8114630468	0.7240915209
57	0.6708683569	0.6838461538	0.8084464555	0.7228590695
58	0.6707280697	0.6838461538	0.8084464555	0.7228590695
59	0.6704720882	0.6838461538	0.8084464555	0.7228590695
60	0.6701713722	0.6846153846	0.8084464555	0.7233468286
61	0.6699920656	0.6846153846	0.8084464555	0.7233468286
62	0.6697306969	0.6846153846	0.8084464555	0.7233468286
63	0.6694898593	0.6846153846	0.8084464555	0.7233468286
64	0.6692740332	0.6838461538	0.8069381599	0.7224848076
65	0.6689164811	0.6846153846	0.8084464555	0.7233468286
66	0.6685886208	0.6838461538	0.8069381599	0.7224848076
67	0.6679965049	0.6830769231	0.8054298643	0.7216216216
68	0.6677784957	0.6815384615	0.8054298643	0.7206477733
69	0.6674046549	0.6815384615	0.8054298643	0.7206477733
70	0.66707406	0.6830769231	0.8069381599	0.7219973009
71	0.666937676	0.6815384615	0.8054298643	0.7206477733
72	0.6665258451	0.6823076923	0.8054298643	0.7211343687
73	0.6661449956	0.6823076923	0.8084464555	0.7218855219
74	0.6659170372	0.6823076923	0.8084464555	0.7218855219
75	0.6657128985	0.6830769231	0.8084464555	0.7223719677
76	0.6654485994	0.6830769231	0.8084464555	0.7223719677
77	0.665230079	0.6853846154	0.8084464555	0.7238352465
78	0.6648607983	0.6861538462	0.8099547511	0.7246963563
79	0.6645342902	0.6853846154	0.8099547511	0.7242076871
80	0.6642371727	0.6876923077	0.8114630468	0.7260458839
81	0.6639969542	0.6869230769	0.8114630468	0.7255563048
82	0.6635175626	0.6846153846	0.8099547511	0.7237196765
83	0.6632056418	0.6869230769	0.8099547511	0.7251856853
84	0.6628746546	0.6892307692	0.8129713424	0.7273954116
85	0.6624988054	0.6884615385	0.8129713424	0.7269049225
86	0.6622250158	0.6884615385	0.8129713424	0.7269049225
87	0.6618735018	0.6884615385	0.814479638	0.7272727273
88	0.6615017636	0.6876923077	0.814479638	0.7267833109
89	0.6612576692	0.6876923077	0.814479638	0.7267833109
90	0.6610775311	0.6884615385	0.814479638	0.7272727273
91	0.6606414237	0.6869230769	0.814479638	0.7262945528
92	0.660352019	0.6876923077	0.814479638	0.7267833109
93	0.6599881568	0.6876923077	0.8159879336	0.7271505376
94	0.6596926317	0.6907692308	0.8174962293	0.7294751009
95	0.6595003358	0.6915384615	0.8205128205	0.7306917394
96	0.6590913561	0.6930769231	0.8190045249	0.7313131313
97	0.6588181979	0.6930769231	0.8205128205	0.7316745124
98	0.6586649894	0.6938461538	0.8220211161	0.7325268817
99	0.6583802469	0.6938461538	0.8205128205	0.732166891
100	0.6581132757	0.6946153846	0.8205128205	0.7326599327
101	0.6578793154	0.6915384615	0.8159879336	0.7296021578
102	0.6576463089	0.6915384615	0.8174962293	0.72996633
103	0.6573650335	0.6907692308	0.8159879336	0.7291105121
104	0.6571155337	0.6915384615	0.8174962293	0.72996633
105	0.6568395374	0.6923076923	0.8174962293	0.730458221
106	0.6566204813	0.6923076923	0.8159879336	0.7300944669
107	0.6563144502	0.6923076923	0.814479638	0.7297297297
108	0.6560191469	0.6930769231	0.8190045249	0.7313131313
109	0.6558358861	0.69	0.8129713424	0.7278865631
110	0.6556347316	0.69	0.8114630468	0.7275185936
111	0.6554262992	0.6907692308	0.8114630468	0.7280108254
112	0.6548416383	0.6938461538	0.8159879336	0.7310810811
113	0.6546310104	0.6938461538	0.8159879336	0.7310810811
114	0.6544351465	0.6930769231	0.814479638	0.7302231237
115	0.6542524285	0.6923076923	0.8129713424	0.7293640054
116	0.6540858052	0.6923076923	0.8129713424	0.7293640054
117	0.6539382192	0.6923076923	0.8129713424	0.7293640054
118	0.6537421894	0.6923076923	0.8129713424	0.7293640054
119	0.6535181934	0.6915384615	0.8114630468	0.7285037238
120	0.6531428511	0.6915384615	0.8114630468	0.7285037238
121	0.6527784731	0.6915384615	0.8129713424	0.7288708587
122	0.6525621752	0.6907692308	0.8129713424	0.7283783784
123	0.6522018376	0.6915384615	0.8129713424	0.7288708587
124	0.651821192	0.6915384615	0.8129713424	0.7288708587
125	0.6515220293	0.6923076923	0.8129713424	0.7293640054
126	0.6511821821	0.6923076923	0.814479638	0.7297297297
127	0.6509369847	0.6915384615	0.8129713424	0.7288708587
128	0.6507554318	0.6923076923	0.8129713424	0.7293640054
129	0.6505651675	0.6923076923	0.8114630468	0.72899729
130	0.6501979779	0.6923076923	0.8114630468	0.72899729
131	0.6499880707	0.6915384615	0.8099547511	0.7281355932
132	0.6498376177	0.6915384615	0.8099547511	0.7281355932
133	0.6497106591	0.6907692308	0.8099547511	0.7276422764
134	0.6494681262	0.6907692308	0.8114630468	0.7280108254
135	0.6493106803	0.6930769231	0.8129713424	0.7298578199
136	0.6491577496	0.6915384615	0.8114630468	0.7285037238
137	0.6489702032	0.6892307692	0.8114630468	0.727027027
138	0.6488127477	0.6915384615	0.8114630468	0.7285037238
139	0.6484962227	0.6923076923	0.8129713424	0.7293640054
140	0.6483039955	0.6930769231	0.8114630468	0.7294915254
141	0.648067447	0.6938461538	0.8114630468	0.7299864315
142	0.6478630402	0.6938461538	0.8099547511	0.7296195652
143	0.6476367174	0.6930769231	0.8084464555	0.7287559483
144	0.6474572097	0.6946153846	0.8114630468	0.7304820095
145	0.6472560627	0.6923076923	0.8084464555	0.7282608696
146	0.6470841081	0.6923076923	0.8084464555	0.7282608696
147	0.646944563	0.6915384615	0.8069381599	0.727396329
148	0.6467920852	0.6923076923	0.8069381599	0.7278911565
149	0.6465740437	0.6930769231	0.8069381599	0.7283866576
150	0.6463584018	0.6930769231	0.8069381599	0.7283866576
151	0.6461669292	0.6930769231	0.8069381599	0.7283866576
152	0.6459142584	0.6930769231	0.8069381599	0.7283866576
153	0.645752688	0.6930769231	0.8069381599	0.7283866576
154	0.6454738123	0.6946153846	0.8084464555	0.729748128
155	0.6452991479	0.6953846154	0.8084464555	0.7302452316
156	0.6450799381	0.6938461538	0.8069381599	0.7288828338
157	0.6447566338	0.6938461538	0.8069381599	0.7288828338
158	0.6445114853	0.6923076923	0.8069381599	0.7278911565
159	0.6443034181	0.6930769231	0.8084464555	0.7287559483
160	0.644153478	0.6923076923	0.8069381599	0.7278911565
161	0.6439056033	0.6923076923	0.8069381599	0.7278911565
162	0.643695286	0.6946153846	0.8069381599	0.7293796864
163	0.6435058473	0.6961538462	0.8084464555	0.730743013
164	0.6433056352	0.6961538462	0.8069381599	0.7303754266
165	0.6429601339	0.6953846154	0.8084464555	0.7302452316
166	0.642789909	0.6961538462	0.8084464555	0.730743013
167	0.6426049208	0.6961538462	0.8084464555	0.730743013
168	0.6423681156	0.6961538462	0.8084464555	0.730743013
169	0.6422115743	0.6961538462	0.8084464555	0.730743013
170	0.6420290562	0.6953846154	0.8084464555	0.7302452316
171	0.6418461589	0.6953846154	0.8084464555	0.7302452316
172	0.6416203322	0.6953846154	0.8084464555	0.7302452316
173	0.6414865549	0.6953846154	0.8084464555	0.7302452316
174	0.641351444	0.6946153846	0.8084464555	0.729748128
175	0.6411065643	0.6953846154	0.8099547511	0.7306122449
176	0.6408481855	0.6953846154	0.8099547511	0.7306122449
177	0.6407121345	0.6953846154	0.8099547511	0.7306122449
178	0.6405451888	0.6953846154	0.8099547511	0.7306122449
179	0.6403954054	0.6953846154	0.8099547511	0.7306122449
180	0.6401291832	0.6953846154	0.8099547511	0.7306122449
181	0.6399708753	0.6953846154	0.8099547511	0.7306122449
182	0.6397216819	0.6953846154	0.8099547511	0.7306122449
183	0.6395958745	0.6953846154	0.8099547511	0.7306122449
184	0.6393574857	0.6953846154	0.8084464555	0.7302452316
185	0.6390843707	0.6938461538	0.8069381599	0.7288828338
186	0.6389558598	0.6953846154	0.8084464555	0.7302452316
187	0.6388260816	0.6953846154	0.8084464555	0.7302452316
188	0.6385292199	0.6946153846	0.8084464555	0.729748128
189	0.6383265161	0.6969230769	0.8084464555	0.7312414734
190	0.6382148898	0.6976923077	0.8084464555	0.7317406143
191	0.6380121469	0.6969230769	0.8084464555	0.7312414734
192	0.6377786295	0.6961538462	0.8084464555	0.730743013
193	0.6375653436	0.6961538462	0.8084464555	0.730743013
194	0.6373999104	0.6976923077	0.8084464555	0.7317406143
195	0.6372411295	0.6976923077	0.8084464555	0.7317406143
196	0.6370653457	0.6984615385	0.8084464555	0.7322404372
197	0.6369127194	0.6984615385	0.8084464555	0.7322404372
198	0.6366804158	0.6984615385	0.8084464555	0.7322404372
199	0.6363800971	0.6961538462	0.8084464555	0.730743013
200	0.6362453338	0.6969230769	0.8069381599	0.7308743169
201	0.6360349564	0.6984615385	0.8084464555	0.7322404372
202	0.6358683463	0.6976923077	0.8069381599	0.7313738893
203	0.6357328077	0.6969230769	0.8069381599	0.7308743169
204	0.6356109959	0.6976923077	0.8069381599	0.7313738893
205	0.6354817409	0.6984615385	0.8084464555	0.7322404372
206	0.6352657335	0.6976923077	0.8084464555	0.7317406143
207	0.6351395164	0.6984615385	0.8084464555	0.7322404372
208	0.6349903571	0.6976923077	0.8084464555	0.7317406143
209	0.6348729805	0.6969230769	0.8069381599	0.7308743169
210	0.6347167999	0.6984615385	0.8069381599	0.731874145
211	0.6345503657	0.6984615385	0.8069381599	0.731874145
212	0.6343242271	0.6976923077	0.8069381599	0.7313738893
213	0.6340911201	0.6976923077	0.8069381599	0.7313738893
214	0.6339167882	0.6984615385	0.8084464555	0.7322404372
215	0.6337117894	0.6976923077	0.8069381599	0.7313738893
216	0.633540305	0.6976923077	0.8069381599	0.7313738893
217	0.6334280462	0.6976923077	0.8069381599	0.7313738893
218	0.6333349462	0.6976923077	0.8069381599	0.7313738893
219	0.6331607255	0.6976923077	0.8069381599	0.7313738893
220	0.6330314439	0.6976923077	0.8069381599	0.7313738893
221	0.6329159417	0.6976923077	0.8069381599	0.7313738893
222	0.6327617829	0.6969230769	0.8054298643	0.730506156
223	0.6325607209	0.6969230769	0.8054298643	0.730506156
224	0.6323267597	0.6969230769	0.8054298643	0.730506156
225	0.6321606499	0.6969230769	0.8054298643	0.730506156
226	0.6320873436	0.6969230769	0.8054298643	0.730506156
227	0.6318806182	0.6961538462	0.8054298643	0.7300068353
228	0.6316658479	0.6969230769	0.8069381599	0.7308743169
229	0.6312814292	0.6969230769	0.8069381599	0.7308743169
230	0.631030764	0.6976923077	0.8084464555	0.7317406143
231	0.6308726618	0.6976923077	0.8084464555	0.7317406143
232	0.6306858445	0.6984615385	0.8099547511	0.7326057299
233	0.630579633	0.6984615385	0.8099547511	0.7326057299
234	0.6303482287	0.6984615385	0.8099547511	0.7326057299
235	0.6301207097	0.6984615385	0.8099547511	0.7326057299
236	0.6299208728	0.6984615385	0.8114630468	0.7329700272
237	0.6297935766	0.6976923077	0.8099547511	0.7321063395
238	0.6295738062	0.6984615385	0.8099547511	0.7326057299
239	0.6293797217	0.6984615385	0.8099547511	0.7326057299
240	0.6292665053	0.6984615385	0.8099547511	0.7326057299
241	0.6291213524	0.6984615385	0.8099547511	0.7326057299
242	0.6289479566	0.6984615385	0.8099547511	0.7326057299
243	0.6287757483	0.6992307692	0.8099547511	0.733105802
244	0.628621096	0.6984615385	0.8099547511	0.7326057299
245	0.6284398798	0.6992307692	0.8099547511	0.733105802
246	0.6282240489	0.6984615385	0.8114630468	0.7329700272
247	0.6280329621	0.6976923077	0.8099547511	0.7321063395
248	0.6279091476	0.6984615385	0.8099547511	0.7326057299
249	0.6277649609	0.6984615385	0.8099547511	0.7326057299
250	0.6276173328	0.6984615385	0.8099547511	0.7326057299
251	0.6274309792	0.6984615385	0.8084464555	0.7322404372
252	0.6272616282	0.6984615385	0.8084464555	0.7322404372
253	0.6270783995	0.6984615385	0.8084464555	0.7322404372
254	0.6268035208	0.6992307692	0.8099547511	0.733105802
255	0.6267072416	0.6992307692	0.8099547511	0.733105802
256	0.6265463122	0.7	0.8114630468	0.7339699864
257	0.6263507326	0.7	0.8114630468	0.7339699864
258	0.6262066215	0.6992307692	0.8099547511	0.733105802
259	0.6259663849	0.6992307692	0.8114630468	0.733469666
260	0.6258256599	0.6992307692	0.8114630468	0.733469666
261	0.6257112282	0.6992307692	0.8114630468	0.733469666
262	0.6256203015	0.6992307692	0.8114630468	0.733469666
263	0.6254571213	0.6992307692	0.8114630468	0.733469666
264	0.6253337338	0.6992307692	0.8114630468	0.733469666
265	0.6252031235	0.7	0.8114630468	0.7339699864
266	0.625040292	0.6992307692	0.8099547511	0.733105802
267	0.6248094361	0.6992307692	0.8114630468	0.733469666
268	0.624679701	0.6992307692	0.8114630468	0.733469666
269	0.6245893029	0.6992307692	0.8114630468	0.733469666
270	0.6244310899	0.6992307692	0.8114630468	0.733469666
271	0.6241473857	0.6984615385	0.8099547511	0.7326057299
272	0.6240080975	0.6992307692	0.8114630468	0.733469666
273	0.6239089544	0.6992307692	0.8114630468	0.733469666
274	0.62374356	0.6984615385	0.8099547511	0.7326057299
275	0.6235870235	0.6992307692	0.8099547511	0.733105802
276	0.62338794	0.7007692308	0.8114630468	0.7344709898
277	0.6232281543	0.7	0.8114630468	0.7339699864
278	0.623065153	0.7007692308	0.8114630468	0.7344709898
279	0.6229011549	0.7007692308	0.8114630468	0.7344709898
280	0.6228041218	0.7007692308	0.8114630468	0.7344709898
281	0.6225901649	0.7	0.8099547511	0.7336065574
282	0.6223398888	0.7	0.8099547511	0.7336065574
283	0.6220460443	0.7	0.8084464555	0.7332421341
284	0.6219045872	0.7	0.8084464555	0.7332421341
285	0.6217596448	0.7015384615	0.8099547511	0.7346101231
286	0.6215725321	0.7	0.8069381599	0.7328767123
287	0.6214338265	0.7	0.8084464555	0.7332421341
288	0.6213444216	0.6992307692	0.8069381599	0.7323750856
289	0.6212390602	0.6992307692	0.8069381599	0.7323750856
290	0.6210604089	0.6992307692	0.8069381599	0.7323750856
291	0.6209279139	0.6992307692	0.8069381599	0.7323750856
292	0.6207065846	0.6992307692	0.8084464555	0.7327409433
293	0.6205530824	0.6984615385	0.8069381599	0.731874145
294	0.6203074444	0.6992307692	0.8069381599	0.7323750856
295	0.6201406935	0.6984615385	0.8054298643	0.7315068493
296	0.6200560308	0.6992307692	0.8069381599	0.7323750856
297	0.6199076723	0.6992307692	0.8069381599	0.7323750856
298	0.6197700516	0.6984615385	0.8069381599	0.731874145
299	0.6196788028	0.6992307692	0.8069381599	0.7323750856
300	0.6195715578	0.6992307692	0.8069381599	0.7323750856
301	0.6194013467	0.6992307692	0.8069381599	0.7323750856
302	0.6192226531	0.6984615385	0.8069381599	0.731874145
303	0.6191571894	0.6992307692	0.8069381599	0.7323750856
304	0.6190949417	0.6984615385	0.8069381599	0.731874145
305	0.6189468839	0.6984615385	0.8084464555	0.7322404372
306	0.6188031075	0.6992307692	0.8084464555	0.7327409433
307	0.6186630178	0.6992307692	0.8084464555	0.7327409433
308	0.6183875145	0.6992307692	0.8084464555	0.7327409433
309	0.6183028859	0.6992307692	0.8084464555	0.7327409433
310	0.618159292	0.6992307692	0.8084464555	0.7327409433
311	0.6180865177	0.6992307692	0.8084464555	0.7327409433
312	0.6179968226	0.6992307692	0.8084464555	0.7327409433
313	0.6178944911	0.7	0.8084464555	0.7332421341
314	0.6177530531	0.7	0.8084464555	0.7332421341
315	0.6174726123	0.6992307692	0.8069381599	0.7323750856
316	0.6173103045	0.7	0.8084464555	0.7332421341
317	0.6171436939	0.6992307692	0.8069381599	0.7323750856
318	0.6170209407	0.6992307692	0.8069381599	0.7323750856
319	0.6169190141	0.6992307692	0.8069381599	0.7323750856
320	0.6167951664	0.6992307692	0.8069381599	0.7323750856
321	0.6166965556	0.6992307692	0.8069381599	0.7323750856
322	0.6166026358	0.7007692308	0.8069381599	0.7333790267
323	0.6163115909	0.6992307692	0.8069381599	0.7323750856
324	0.6161736736	0.6992307692	0.8069381599	0.7323750856
325	0.6160239163	0.6992307692	0.8069381599	0.7323750856
326	0.6159207606	0.6992307692	0.8069381599	0.7323750856
327	0.615825521	0.7	0.8069381599	0.7328767123
