iter	Passed	Remaining
0	31	15818
1	56	14116
2	78	12989
3	102	12736
4	124	12369
5	161	13285
6	171	12073
7	200	12352
8	237	12939
9	266	13036
10	291	12956
11	301	12241
12	326	12240
13	341	11843
14	348	11266
15	357	10810
16	367	10430
17	394	10552
18	432	10947
19	462	11088
20	468	10690
21	497	10798
22	521	10811
23	546	10834
24	566	10771
25	580	10577
26	604	10592
27	628	10600
28	652	10603
29	658	10316
30	690	10440
31	716	10476
32	744	10537
33	758	10399
34	779	10358
35	805	10375
36	831	10403
37	848	10317
38	895	10587
39	938	10797
40	986	11047
41	1012	11046
42	1042	11076
43	1067	11059
44	1095	11076
45	1128	11142
46	1156	11144
47	1180	11112
48	1206	11106
49	1239	11159
50	1271	11191
51	1302	11217
52	1326	11190
53	1357	11213
54	1383	11195
55	1419	11251
56	1464	11378
57	1527	11640
58	1572	11756
59	1614	11837
60	1640	11804
61	1674	11828
62	1701	11805
63	1734	11817
64	1777	11897
65	1806	11877
66	1829	11821
67	1858	11805
68	1893	11825
69	1918	11785
70	1946	11761
71	1972	11725
72	1998	11687
73	2026	11666
74	2051	11625
75	2075	11579
76	2098	11529
77	2122	11485
78	2152	11471
79	2182	11459
80	2209	11430
81	2236	11400
82	2264	11378
83	2288	11333
84	2312	11288
85	2333	11232
86	2355	11181
87	2378	11136
88	2401	11090
89	2429	11069
90	2459	11053
91	2487	11030
92	2511	10991
93	2535	10950
94	2562	10925
95	2588	10891
96	2608	10836
97	2631	10795
98	2653	10747
99	2677	10709
100	2701	10671
101	2731	10657
102	2757	10628
103	2782	10595
104	2809	10567
105	2833	10532
106	2859	10501
107	2882	10463
108	2911	10444
109	2948	10455
110	2977	10436
111	3001	10399
112	3025	10361
113	3045	10312
114	3067	10270
115	3089	10227
116	3114	10196
117	3141	10169
118	3166	10138
119	3192	10109
120	3216	10073
121	3245	10056
122	3270	10024
123	3292	9982
124	3316	9948
125	3339	9912
126	3363	9879
127	3391	9857
128	3420	9836
129	3446	9809
130	3477	9795
131	3504	9769
132	3525	9728
133	3556	9714
134	3580	9681
135	3605	9650
136	3628	9613
137	3652	9580
138	3671	9535
139	3695	9503
140	3715	9458
141	3744	9440
142	3770	9413
143	3800	9396
144	3826	9367
145	3851	9338
146	3877	9312
147	3902	9281
148	3930	9259
149	3970	9263
150	4000	9245
151	4024	9214
152	4048	9182
153	4073	9151
154	4096	9118
155	4119	9084
156	4144	9054
157	4166	9019
158	4190	8986
159	4217	8961
160	4243	8935
161	4268	8905
162	4292	8874
163	4315	8841
164	4336	8805
165	4360	8773
166	4393	8761
167	4421	8738
168	4453	8721
169	4481	8699
170	4511	8679
171	4537	8652
172	4565	8628
173	4589	8598
174	4614	8569
175	4637	8537
176	4659	8503
177	4683	8472
178	4703	8434
179	4730	8409
180	4755	8381
181	4780	8352
182	4802	8318
183	4826	8289
184	4850	8258
185	4873	8227
186	4896	8195
187	4922	8168
188	4946	8138
189	4991	8144
190	5022	8125
191	5045	8093
192	5070	8065
193	5093	8034
194	5114	7999
195	5135	7965
196	5159	7935
197	5183	7906
198	5206	7874
199	5240	7860
200	5269	7839
201	5300	7818
202	5328	7795
203	5351	7764
204	5379	7741
205	5409	7719
206	5440	7700
207	5467	7675
208	5501	7660
209	5534	7642
210	5562	7619
211	5586	7589
212	5610	7560
213	5634	7529
214	5656	7498
215	5682	7470
216	5706	7442
217	5755	7444
218	5808	7452
219	5860	7458
220	5927	7482
221	6007	7522
222	6056	7522
223	6133	7556
224	6218	7600
225	6266	7597
226	6351	7638
227	6429	7670
228	6466	7652
229	6497	7627
230	6530	7605
231	6568	7588
232	6593	7555
233	6617	7522
234	6641	7489
235	6666	7457
236	6691	7425
237	6714	7391
238	6743	7364
239	6771	7335
240	6813	7322
241	6879	7334
242	6943	7343
243	7029	7375
244	7078	7367
245	7110	7341
246	7136	7310
247	7160	7275
248	7184	7241
249	7215	7215
250	7243	7185
251	7264	7149
252	7289	7116
253	7314	7083
254	7344	7056
255	7395	7048
256	7455	7049
257	7499	7034
258	7539	7015
