ユーザID,学校種別(使用）,文理（使用）,アルバイト経験有無,アルバイト経験先,アルバイト店番,アルバイト店名,アルバイト社員番号,アルバイト開始年月,アルバイト期間,[SPI3U]言語(得点),[SPI3U]言語(段階),[SPI3U]非言語(得点),[SPI3U]非言語(段階),[SPI3U]基礎能力総合(得点),[SPI3U]基礎能力総合(段階),[SPI3U]Ａ対人接触,[SPI3U]Ｂ対人折衝,[SPI3U]Ｃ集団統率,[SPI3U]Ｄ協調協力,[SPI3U]Ｅサポート,[SPI3U]Ｆフットワーク,[SPI3U]Ｇスピーディー,[SPI3U]Ｈ予定外対応,[SPI3U]Ｉ自律遂行,[SPI3U]Ｊプレッシャー,[SPI3U]Ｋ着実持続,[SPI3U]Ｌ前例ない課題,[SPI3U]Ｍ企画アイデア,[SPI3U]Ｎ問題分析,[SPI3U]ダミー(1),[SPI3U]ダミー(2),[SPI3U]Ｗ創造重視,[SPI3U]Ｘ結果重視,[SPI3U]Ｙ調和重視,[SPI3U]Ｚ秩序重視,[SPI3U]応答態度Ａ,[SPI3U]ダミー,[SPI3Uフル]マネジメントスタイル座標,[SPI3U]内向-外向2,[SPI3U]調整-統率,[SPI3U]繊細-強靭,[SPI3U]維持‐変革,[SPI3U]活動系,[SPI3U]新卒R社員性格基準,final
16047080,,,勤務経験なし,,,,,,,50,4,36,2,42,3,2,3,3,1,3,1,1,2,5,3,5,5,3,2,6,6,2,4,3,5,1,1,Z2,2,4,3,"3,5",1,"2,8",1
16003936,大学,文系,勤務経験なし,,,,,,,80,7,76,7,80,7,3,3,3,2,2,2,3,3,3,3,3,3,4,4,4,3,4,2,2,3,1,1,W4,3,3,3,3,"2,5","2,5",1
16005198,大学,文系,勤務経験なし,,,,,,,57,5,52,4,55,5,3,3,3,3,3,3,3,3,5,3,3,3,3,4,4,6,3,4,2,4,1,1,X4,3,4,3,3,3,"3,5",1
16007773,大学,文系,過去に勤務していました,B社,,店名_242,,40878,6カ月未満,52,4,46,4,49,4,4,4,5,3,3,5,4,4,2,3,1,3,3,2,4,2,4,2,3,1,1,1,W3,4,"3,5","3,5","3,5","4,5",3,1
16009670,大学,文系,現在、勤務しています,A社,440,店名_552,707462,41730,6カ月以上,51,4,55,5,"53,5",4,3,3,3,3,4,3,2,2,3,2,3,1,3,4,3,5,3,3,4,3,1,1,Y2,3,3,"2,5","1,5","2,5","3,3",1
16010584,大学,文系,勤務経験なし,,,,,,,44,3,49,4,46,4,3,4,4,4,4,5,4,5,5,5,4,5,4,3,6,6,4,4,4,4,1,1,Z1,3,"4,5","4,5",5,"4,5",4,1
16012523,大学,文系,勤務経験なし,,,,,,,70,7,66,6,70,7,4,3,3,5,5,3,3,2,3,3,4,2,4,4,4,3,3,3,5,4,1,1,Y4,4,3,3,2,3,"4,3",1
16021382,大学,文系,勤務経験なし,,,,,,,57,5,41,3,49,4,5,5,5,1,1,5,5,5,5,5,2,5,3,3,5,3,5,5,1,1,1,1,W2,5,5,5,5,5,3,1
16022608,大学,文系,勤務経験なし,,,,,,,52,4,47,4,"49,5",4,4,5,5,3,4,3,3,3,5,4,3,4,4,3,6,3,4,3,3,3,1,1,W4,4,5,"4,5","3,5",3,4,1
16022845,大学,文系,現在、勤務しています,A社,114,店名_670,566908,40969,6カ月以上,57,5,63,6,"61,5",5,5,4,4,5,4,3,3,4,3,4,3,3,3,4,3,3,4,3,4,3,1,1,Y2,5,"3,5",4,"3,5",3,"4,3",1
16027687,大学,文系,勤務経験なし,,,,,,,51,4,46,4,"48,5",4,5,5,5,2,2,5,4,5,4,5,2,5,3,3,4,5,5,4,2,2,1,1,W2,5,"4,5",5,5,"4,5","3,3",1
16031480,,,勤務経験なし,,,,,,,59,5,74,7,"68,5",6,3,4,4,1,2,3,3,3,4,4,2,5,5,4,6,3,4,3,1,1,1,1,W2,3,4,4,4,3,"2,5",1
16031666,大学,文系,勤務経験なし,,,,,,,62,6,67,6,"66,5",6,4,5,5,3,3,5,5,5,3,4,1,3,4,4,3,2,4,3,3,1,1,1,W1,4,4,"4,5",4,5,"3,3",1
