"ユーザID","学校種別(使用）","文理（使用）","アルバイト経験有無","アルバイト経験先","アルバイト店番","アルバイト店名","アルバイト社員番号","アルバイト開始年月","アルバイト期間","[SPI3U]言語(得点)","[SPI3U]言語(段階)","[SPI3U]非言語(得点)","[SPI3U]非言語(段階)","[SPI3U]基礎能力総合(得点)","[SPI3U]基礎能力総合(段階)","[SPI3U]Ａ対人接触","[SPI3U]Ｂ対人折衝","[SPI3U]Ｃ集団統率","[SPI3U]Ｄ協調協力","[SPI3U]Ｅサポート","[SPI3U]Ｆフットワーク","[SPI3U]Ｇスピーディー","[SPI3U]Ｈ予定外対応","[SPI3U]Ｉ自律遂行","[SPI3U]Ｊプレッシャー","[SPI3U]Ｋ着実持続","[SPI3U]Ｌ前例ない課題","[SPI3U]Ｍ企画アイデア","[SPI3U]Ｎ問題分析","[SPI3U]ダミー(1)","[SPI3U]ダミー(2)","[SPI3U]Ｗ創造重視","[SPI3U]Ｘ結果重視","[SPI3U]Ｙ調和重視","[SPI3U]Ｚ秩序重視","[SPI3U]応答態度Ａ","[SPI3U]ダミー","[SPI3Uフル]マネジメントスタイル座標","[SPI3U]内向-外向2","[SPI3U]調整-統率","[SPI3U]繊細-強靭","[SPI3U]維持‐変革","[SPI3U]活動系","[SPI3U]新卒R社員性格基準"
17000036,"大学","文系","現在、勤務しています","B社",1227,"店名_275",660296,41518,"6カ月以上",43,3,40,3,"40,5",3,5,5,5,3,2,4,4,3,4,5,2,4,2,2,5,4,4,5,2,2,1,1,"X1",5,"4,5",5,"3,5",4,"3,5"
17000045,"大学","文系","現在、勤務しています","B社",1424,"店名_254",679323,41548,"6カ月以上",30,2,56,5,42,3,4,4,5,5,5,4,5,4,3,4,3,4,2,2,5,6,4,5,5,4,1,1,"X3",4,4,4,4,"4,5","4,3"
17000055,"大学","文系","勤務経験なし",,,,,,,55,5,49,4,"52,5",4,4,4,5,3,3,3,3,3,5,4,3,4,5,3,6,4,4,4,3,3,1,1,"X3",4,5,4,"3,5",3,"3,8"
17000062,"大学","文系","勤務経験なし",,,,,,,37,2,48,4,"41,5",3,5,4,4,3,3,5,5,4,3,5,2,4,3,2,6,3,4,3,3,1,1,1,"W1",5,"3,5","4,5",4,5,"3,5"
17000063,"大学","文系","現在、勤務しています","B社",1397,"店名_767",832607,42186,"6カ月未満",50,4,39,3,44,3,3,4,3,3,3,3,3,4,5,4,5,4,3,3,5,6,3,4,3,5,1,1,"Z2",3,4,4,4,3,"3,5"
17000067,"大学","文系","勤務経験なし",,,,,,,57,5,53,4,"55,5",5,5,5,5,3,3,4,3,4,3,4,2,3,3,3,2,2,4,3,2,2,1,1,"W2",5,4,"4,5","3,5","3,5","3,5"
17000069,"大学","文系","勤務経験なし",,,,,,,58,5,36,2,"46,5",4,3,4,3,4,4,5,4,5,3,4,4,4,3,2,4,2,3,2,4,4,1,1,"Y4",3,3,4,"4,5","4,5","3,5"
17000070,"大学","文系","現在、勤務しています","A社",135,"店名_768",607068,41214,"6カ月以上",51,4,33,2,41,3,3,4,4,3,3,3,5,4,5,5,3,5,3,2,6,5,3,4,3,2,1,1,"X3",3,"4,5","4,5","4,5",4,"3,5"
17000072,"大学","文系","勤務経験なし",,,,,,,61,5,59,5,"61,5",5,5,5,5,5,4,5,5,5,3,5,3,4,4,4,4,3,5,4,4,3,1,1,"W4",5,4,5,"4,5",5,"4,3"
17000079,"大学","理系","勤務経験なし",,,,,,,44,3,42,3,42,3,5,5,5,3,3,5,5,5,5,5,2,5,3,2,6,4,5,4,3,2,1,1,"W2",5,5,5,5,5,4
17000081,"大学","文系","勤務経験なし",,,,,,,52,4,49,4,"50,5",4,4,4,4,2,2,4,3,3,4,4,2,4,3,3,4,4,4,3,2,2,1,1,"W2",4,4,4,"3,5","3,5",3
17000082,"大学","文系","勤務経験なし",,,,,,,74,7,77,7,"78,5",7,3,2,2,5,5,3,1,2,2,2,5,1,4,4,3,3,2,1,5,4,1,1,"Y4",3,2,2,"1,5",2,"3,8"
17000087,"大学","文系","現在、勤務しています","B社",1457,"店名_769",635487,41365,"6カ月以上",29,1,31,2,"27,5",1,3,3,4,3,4,3,2,3,4,3,3,3,1,1,5,5,3,3,4,4,1,1,"Y2",3,4,3,3,"2,5","3,5"
17000090,"大学","文系","勤務経験なし",,,,,,,68,6,60,5,"65,5",6,4,4,3,5,5,4,3,4,3,3,3,3,3,4,2,3,3,1,5,3,1,1,"Y3",4,3,"3,5","3,5","3,5","4,3"
17000102,"大学","文系","勤務経験なし",,,,,,,61,5,65,6,"64,5",6,4,4,3,5,5,4,4,5,2,3,3,3,4,4,3,3,4,3,5,3,1,1,"Y1",4,"2,5","3,5",4,4,4
